"id" "exp" "session" "PL" "sigma" "posu" "STD" "STD_se" "alpha" "alpha_se" "id.1" "ideal_gain" "ideal_gain_R" "observed_gain" "observed_gain_se" "observed_sd" "STD_R" "STD_se.1" "Lshp" "Lshp_se" "alpha_R" "alpha_se_R"
"1_33" "ej" "exp1" "large" 50 1.5 3 0.137967987554372 0.00919475187451312 0.817143818894695 0.0175680842123262 "ej_exp1" 0.918271152042381 0.901764498242115 0.882050324692185 0.0123466707237831 0.122143737699054 0.138372193652737 NA 0.0639266069249308 NA 0.573765019790663 NA
"2_13" "ej" "exp1" "small" 146 0.3 1 0.124191511350809 0.0086261756916783 0.817143818894695 0.0175680842123262 "ej_exp1" 0.926431997107005 0.929135478759211 0.95083147103473 0.0127394684188779 0.129615073408134 0.118191015844665 0.00645020075657832 0.0639266069249308 NA 0.573765019790663 NA
"2_23" "ej" "exp1" "small" 57 0.9 2 0.12164086634152 0.00830563488115285 0.817143818894695 0.0175680842123262 "ej_exp1" 0.927942942329264 0.928146343103353 0.936338470461864 0.012497677072336 0.124466602405684 0.119024122481724 0.00644282812790866 0.0639266069249308 NA 0.573765019790663 NA
"2_33" "ej" "exp1" "small" 50 1.5 3 0.117551699568127 0.00793999254838785 0.817143818894695 0.0175680842123262 "ej_exp1" 0.930365263747332 0.925405131303305 0.905708681255744 0.0110217107517852 0.107775469313136 0.121302988009788 0.00657994570252565 0.0639266069249308 NA 0.573765019790663 NA
"1_14" "aa" "exp1" "large" 146 0.3 1 0.0937407718261087 0.00567584623215035 0.967270073046564 0.00515117689363921 "aa_exp1" 0.87813788767245 0.879517579474303 0.880807935052453 0.00991526919307606 0.095971967607882 0.0945024962497315 0.00569044938948972 0.5595397816015 0.506078371422459 0.9572447309218 0.021423598704263
"1_24" "aa" "exp1" "large" 57 0.9 2 0.0992707089482076 0.00581813502567175 0.967270073046564 0.00515117689363921 "aa_exp1" 0.870949022130773 0.870832294312929 0.857328242609993 0.00960263879118379 0.0894534034351468 0.100470787661573 0.00606185899214236 0.5595397816015 0.506078371422459 0.9572447309218 0.021423598704263
"1_34" "aa" "exp1" "large" 50 1.5 3 0.138111970080941 0.00795698433725799 0.967270073046564 0.00515117689363921 "aa_exp1" 0.820455754168444 0.815977860056384 0.817638736406523 0.0137868255364926 0.136961358389736 0.134813025241967 0.00934617026957326 0.5595397816015 0.506078371422459 0.9572447309218 0.021423598704263
"2_14" "aa" "exp1" "small" 146 0.3 1 0.0784811956515991 0.00459369304112871 0.967270073046564 0.00515117689363921 "aa_exp1" 0.897975192575748 0.900485045275265 0.908759243879379 0.0091564026332693 0.0849877188404988 0.0795055542172749 0.00494841982876895 0.5595397816015 0.506078371422459 0.9572447309218 0.021423598704263
"2_24" "aa" "exp1" "small" 57 0.9 2 0.0991591170842034 0.00572270631540497 0.967270073046564 0.00515117689363921 "aa_exp1" 0.871094090504531 0.871570852703911 0.866364133674422 0.00995397134988274 0.0964295422576899 0.0999689545450885 0.00572646463802113 0.5595397816015 0.506078371422459 0.9572447309218 0.021423598704263
"2_34" "aa" "exp1" "small" 50 1.5 3 0.125923298397761 0.00725892803434002 0.967270073046564 0.00515117689363921 "aa_exp1" 0.836300909074382 0.834474017855603 0.840359916061667 0.0131126568716537 0.129149619152995 0.123865999260183 0.00759728917486673 0.5595397816015 0.506078371422459 0.9572447309218 0.021423598704263
"1_15" "cf" "exp1" "large" 146 0.3 1 0.081832029524338 0.0043541844206335 0.98237809310095 0.00306688620499308 "cf_exp1" 0.87538423635717 0.875446368702919 0.86527379988841 0.00743743303703626 0.0733762296354792 0.0818513627191612 0.00435547447375706 10 2.59263035778309e-08 0.982311568953066 0.00308094667750664
"1_25" "cf" "exp1" "large" 57 0.9 2 0.08464765442486 0.00446257865906982 0.98237809310095 0.00306688620499308 "cf_exp1" 0.871096536625985 0.871134897444512 0.852094776928254 0.00677372843667353 0.0663266171434344 0.0846838800683629 0.00446640521305424 10 2.59263035778309e-08 0.982311568953066 0.00308094667750664
"1_35" "cf" "exp1" "large" 50 1.5 3 0.129017096029927 0.00687925219867969 0.98237809310095 0.00306688620499308 "cf_exp1" 0.803529693208973 0.803569405122724 0.777747441337785 0.0106197615115157 0.105018759217617 0.12906013478846 0.00688298700160559 10 2.59263035778309e-08 0.982311568953066 0.00308094667750664
