t	c_test	sig1	sig2	sig3	alpha	L1	L00	L_R	MSE1	MSE00	MSE_R	sig1R	sig2R	sig3R	alphaR	lhspR	id
2	6	0.0573023459185693	0.0686007996052859	0.0941537184256932	0.103736705831832	0	0	0	0	0	0	0.0572887362321304	0.0686034281450434	0.0941658355271968	0.117682620482293	0.103748950966186	ml_exp1
3	5	0.0573030336220696	0.0685992965052417	0.0942423972010404	0.103688065066606	66.9033756948079	66.9210936664841	66.9034230599873	0.000598904758424052	3.7315769194483e-08	0.00059730381536011	0.0572995715321143	0.0685961778026901	0.0942441138957838	0.13	0.103687024742842	ml_exp1
4	1	0.13	0.0686027868017776	0.0940015662060581	0.103851452959156	98.2331976875174	98.2530181616349	98.2331073660684	0.00299831101021463	0.00232837898504338	0.00300136387519262	0.13	0.068603255295286	0.0940071147502658	0.117661145275572	0.1038323506127	ml_exp1
5	3	0.0573014124190097	0.0685615337397098	0.13	0.102795681815724	80.8723751589708	79.687890902978	80.8710342150331	0.15175517627698	0.191790744129538	0.151800500182073	0.0573016346182645	0.0685618135543937	0.13	0.117951575703401	0.102796496789546	ml_exp1
6	2	0.0573019106098661	0.13	0.0939535877530492	0.103893203850376	94.1492573268155	94.1216230103414	94.1490849956629	0.00476447108316793	0.00569851097999241	0.0047702958761239	0.0572947621981683	0.13	0.0939462853060831	0.117640426297071	0.103894310074771	ml_exp1
1	1	0.13	0.108969552775954	0.119657838721552	0.106133603852681	74.3308511355606	-7917.47656988988	71.0548421077951	0.458572564094008	270.581663394754	0.569301669232481	0.13	0.10152051509196	0.116357785681706	0.134700097643521	0.109313830062443	pc_exp1
2	3	0.0804912644499415	0.110041458579805	0.13	0.110165362942954	62.8074770417799	-371.981683774674	59.50026961712	0.00606948987722875	14.7019431254734	0.117853100830732	0.0769545195572937	0.0985967526451759	0.13	0.133486612199391	0.112292670754386	pc_exp1
3	2	0.0796806219671293	0.13	0.119639634027143	0.106107274199903	58.6158526623648	7.63160343343676	46.5110634610321	0.385835709420008	2.10910333335778	0.794977584425055	0.0769007647685427	0.13	0.113898041847562	0.130480302629978	0.107276771671261	pc_exp1
4	4	0.0813773987356671	0.111224059898771	0.125675046996895	0.13	77.7498112664977	80.1185913497727	80.2215662238197	0.178306054954666	0.0982412881399701	0.094760737397179	0.0816143650081004	0.107183383747713	0.125317916150319	0.146458702260431	0.13	pc_exp1
5	6	0.0805505501738905	0.110120435433028	0.12270394277177	0.110466301621616	0	0	0	0	0	0	0.0799775554069591	0.104704642030969	0.120093748713327	0.141764315057752	0.116704033094041	pc_exp1
6	5	0.0813612332491259	0.111195624593308	0.125598056554534	0.114665092638545	55.4153054108576	-730.549172271083	60.2974504196005	0.45102909645273	27.0166284421023	0.28601259515722	0.0806183256110172	0.106022488481817	0.12421900783666	0.13	0.120842544322681	pc_exp1
1	1	0.13	0.0836369172889481	0.108571440610687	0.0775961669289611	147.46611001822	102.461950627524	147.443886735901	0.0644914788977719	1.58563206630329	0.0652426258401536	0.13	0.0836442723710112	0.108584180185264	0.077325403655532	0.0775917091411149	ml_exp2
