session	block	trial3	side	ecc	tarDur	sigma	soa	tedfTOn	tedfSac	tedfTOf	PeakLum	sacRT	sacOnset	sacOffset	sacDur	sacVPeak	sacDist	sacxOnset	sacyOnset	sacxOffset	sacyOffset	errorChange	largerAmp	blink	id	id_n	plf	sacXresp	gain	tarX	tarX_s	sacXresp_s	sacErr	session_number
small	4	14	1	6	0.8	0.90937556752528	0.74	750	984	1567	57.34494	221	221	260	40	445.7133	6.0574	0.583925432629983	0.213306893693925	6.08862543262998	0.912406893693924	-5.059	0	0	ml	0	57	6.1110144873906	1.0185024145651	6	6	5.5047	0.916701045580863	1
small	4	15	1	8	0.8	0.90937556752528	0.75	750	972	1567	57.34494	209	209	247	39	454.8412	7.619	0.301973024962075	-0.133519913392661	7.25217302496208	0.587080086607339	-6.9034	0	0	ml	0	57	7.23348120780049	0.904185150975061	8	8	6.9502	0.950740875678149	1
small	4	16	1	9	0.8	0.300000598707988	0.75	768	993	1585	145.9493	214	214	256	43	507.9434	8.7486	0.827520418163071	-0.261641587395202	8.88712041816307	0.491158412604798	-7.9042	0	0	ml	0	146	8.88795765328628	0.987550850365142	9	9	8.0596	0.50396268340835	1
small	4	17	-1	7	0.8	0.300000598707988	0.54	550	772	1367	145.9493	209	209	261	53	465.9798	6.4902	-0.738532386933846	-0.233258149791038	-6.52583238693385	-0.0217581497910381	-5.7903	0	0	ml	0	146	6.45831938399732	0.92261705485676	7	-7	-5.7873	0.474666559137237	1
small	4	18	1	6	0.8	0.90937556752528	0.73	734	991	1551	57.34494	246	246	289	44	470.6954	5.9951	1.09871461050102	0.0113303780323554	6.46011461050102	0.493830378032355	-4.9263	0	0	ml	0	57	6.57827038301875	1.09637839716979	6	6	5.3614	0.674962144911911	1
small	4	19	-1	7	0.8	0.90937556752528	0.57	584	843	1401	57.34494	247	247	298	52	470.6512	5.955	-1.13883858870609	-0.25207602522301	-6.35273858870609	-0.0982760252230101	-5.2088	1	0	ml	0	57	6.21516271307665	0.887880387582378	7	-7	-5.2139	0.654679701597517	1
small	4	20	1	7	0.8	0.90937556752528	0.58	601	823	1418	57.34494	211	211	260	50	500.3969	6.8462	0.927608016267572	-0.28017738076601	6.76530801626757	0.38052261923399	-5.7268	1	0	ml	0	57	6.74177156715556	0.963110223879366	7	7	5.8377	0.447076940779726	1
small	5	1	-1	7	0.8	0.90937556752528	0.77	784	1023	1602	57.34494	226	226	276	51	496.5463	6.7398	-0.683745573758652	-0.0961737097167799	-6.66494557375865	0.16422629028322	-5.9691	1	0	ml	0	57	6.6171036619095	0.945300523129929	7	-7	-5.9812	0.373137699735778	1
small	5	2	-1	8	0.8	0.300000598707988	0.7	701	903	1518	145.9493	190	190	242	53	480.9233	8.2061	-0.753499357968867	0.317334966892914	-8.01819935796887	0.855034966892914	-7.2432	1	0	ml	0	146	8.00793661729245	1.00099207716156	8	-8	-7.2647	0.855228630975393	1
small	5	3	-1	8	0.8	1.51875053634257	0.66	667	901	1484	50.44071	223	223	275	53	481.7103	7.553	-0.856253335550587	-0.172851371880697	-7.42675333555059	0.220648628119303	-6.5779	0	0	ml	0	50	7.3467790403511	0.918347380043887	8	-8	-6.5705	0.614245517194313	1
small	5	4	-1	9	0.8	0.300000598707988	0.74	750	956	1568	145.9493	193	193	249	57	487.1432	8.9388	-0.474507505694727	-0.208532746893748	-8.57810750569473	0.395467253106252	-8.0254	0	0	ml	0	146	8.54369523452509	0.949299470502788	9	-9	-8.1036	0.578262591761329	1
small	5	5	-1	10	0.8	0.300000598707988	0.73	734	925	1552	145.9493	181	181	237	57	550.3039	10.0038	-0.826161867595586	0.0478908210848867	-9.70456186759558	0.440590821084887	-8.7087	1	0	ml	0	146	9.66651061003626	0.966651061003626	10	-10	-8.8784	0.530475222515495	1
small	5	6	1	6	0.8	0.90937556752528	0.75	767	992	1584	57.34494	213	213	244	32	444.4046	6.9893	0.667583579549166	0.124419311373234	6.52168357954917	0.792719311373234	-4.7126	0	0	ml	0	57	6.60038334335538	1.10006389055923	6	6	5.8541	0.948977167162248	1
small	5	7	1	8	0.8	1.51875053634257	0.52	534	779	1351	50.44071	234	234	286	53	529.6809	8.1677	1.2785288365385	-0.0662472966241431	8.5328288365385	0.499052703375857	-6.4284	0	0	ml	0	50	8.64803969779606	1.08100496222451	8	8	7.2543	0.730041211024228	1
small	5	8	-1	7	0.8	0.300000598707988	0.52	534	748	1351	145.9493	203	203	258	56	542.4937	7.3399	-1.23472609583195	0.130890976583489	-7.51652609583195	0.657090976583489	-5.9862	0	0	ml	0	146	7.61298476454294	1.08756925207756	7	-7	-6.2818	0.835803660666095	1
small	5	9	-1	6	0.8	0.90937556752528	0.54	550	804	1368	57.34494	241	241	280	40	408.4494	5.9061	-0.855081216769896	0.0932341105726797	-6.3729812167699	0.45393411057268	-4.8401	0	0	ml	0	57	6.42163860656374	1.07027310109396	6	-6	-5.5179	0.587512693313568	1
small	5	10	1	6	0.8	1.51875053634257	0.76	767	1008	1585	50.44071	228	228	271	44	444.4494	6.8687	0.48386347451366	-0.54631791499457	6.79236347451366	0.26158208500543	-4.4339	0	0	ml	0	50	6.87512487512488	1.14585414585415	6	6	6.3085	0.834424989402372	1
small	5	11	1	7	0.8	0.300000598707988	0.73	750	968	1568	145.9493	204	204	234	31	399.6058	7.0975	0.349007978804398	0.0700348796288383	6.2187079788044	0.471434879628838	-5.8413	0	0	ml	0	146	6.18756400216854	0.883937714595506	7	7	5.8697	0.912506475656236	1
small	5	12	-1	6	0.8	1.51875053634257	0.63	634	939	1451	50.44071	293	293	321	29	402.8334	6.4248	-0.812347703115285	0.238892474274743	-5.89754770311529	0.478192474274743	-5.0788	0	0	ml	0	50	5.86957023585087	0.978261705975145	6	-6	-5.0852	0.489044492444148	1
small	5	13	1	10	0.8	1.51875053634257	0.53	534	803	1351	50.44071	256	256	302	47	532.2099	9.4414	0.376896429533732	0.618754848859367	9.27069642953373	1.21535484885937	-8.7599	0	0	ml	0	50	9.25223144622683	0.925223144622683	10	10	8.8938	1.41738177868238	1
small	5	14	-1	10	0.8	0.90937556752528	0.75	767	993	1585	57.34494	214	214	252	39	476.759	8.8654	-0.896159622472685	0.352121983382968	-8.53515962247268	0.722121983382968	-7.642	1	0	ml	0	57	8.381334825494	0.8381334825494	10	-10	-7.639	1.63316180781921	1
small	5	15	-1	6	0.8	0.300000598707988	0.5	517	750	1334	145.9493	221	221	273	53	457.8024	6.3487	-0.975315858361921	0.164993857929483	-6.46231585836192	0.368893857929483	-5.1055	0	0	ml	0	146	6.53849973188219	1.0897499553137	6	-6	-5.487	0.59145467392778	1
small	5	16	-1	10	0.8	1.51875053634257	0.63	633	861	1451	50.44071	217	217	279	63	579.2891	9.9264	-0.92257227736459	0.0757704526661797	-9.86097227736459	0.27547045266618	-8.9314	1	0	ml	0	50	9.83560377649156	0.983560377649156	10	-10	-8.9384	0.308565516468218	1
small	5	17	-1	10	0.8	0.90937556752528	0.74	750	982	1568	57.34494	220	220	280	61	543.3911	9.7579	-0.325728878714529	0.0488517478433086	-9.09002887871453	0.463651747843309	-8.7234	1	0	ml	0	57	9.04972843483469	0.904972843483469	10	-10	-8.7643	1.02128369459797	1
small	5	18	1	7	0.8	0.300000598707988	0.66	667	873	1484	145.9493	195	195	249	55	516.6284	7.5286	0.928014338351222	-0.202362276206245	7.41961433835122	0.406237723793755	-5.8301	0	0	ml	0	146	7.49644489169705	1.07092069881386	7	7	6.4916	0.584042191269659	1
small	5	19	1	10	0.8	0.300000598707988	0.79	801	1002	1618	145.9493	188	188	238	51	522.5695	10.4342	0.52255737459243	-0.433771639067307	10.4376573745924	0.310728360932693	-8.7586	1	0	ml	0	146	10.473107148893	1.0473107148893	10	10	9.9151	0.536745835403553	1
small	5	20	-1	7	0.8	0.90937556752528	0.73	734	971	1551	57.34494	222	222	268	47	429.4622	6.2713	-0.300599769234316	0.231523639757243	-6.21209976923432	0.506323639757243	-5.9158	1	0	ml	0	57	6.16735721950638	0.881051031358054	7	-7	-5.9115	0.936563079465361	1
