"vpcode" "vp" "session" "block" "trial3" "side" "ecc" "tarDur" "sigma" "soa" "tFix" "tOn" "tOff" "tSac" "sacRT_fd" "tedfTOn" "tedfSac" "tedfTOf" "tedfFix" "cxm" "cym" "tarx" "tary" "gap" "PeakLum" "tedfFixOff" "sacNumber" "sacRT" "largebef" "sacType" "sacOnset" "sacOffset" "sacDur" "sacVPeak" "sacDist" "sacAngle1" "sacAmp" "sacAngle2" "sacxOnset" "sacyOnset" "sacxOffset" "sacyOffset" "sacNumberAfterOnset" "sacNumberAfterPrimary" "errorChange" "sameDir" "largerAmp" "blink" "id" "id_n" "tarX" "sacXresp" "gain" "sigmaf" "tarX_s" "sacXresp_s" "sacErr" "unique_trial" "primary_error" "primary_xerror" "primary_RT" "primary_xresp" "primary_xresp_s" "s2_dir" "primary_xerr_sacdir" "undershoot" "undershoot_label" "sacXresp_sacdir"
"4721" "04mm01" 4 1 4 11 1 10 0.5 0.300000598707988 0.73 2636.01 2636.74 2637.26 2636.97 0.23 734 959 1251 3182823 951 600 363 150 0 175 NA 3 218 1 2 469 489 21 117.6535 0.4091 -0.2971 1.027 -0.16 8.9697 0.4345 9.2343 0.3672 2 2 -0.2636 1 0 0 "mm" 4 10 0.2646 0.256818402407066 "0.3" 10 0.2646 0.849195107145585 "04mm01_4_1_11" 1.11129159089773 -0.912000000000001 211 9.1082777636545 9.3154 "same as primary" -0.912000000000001 1 "after
undershoot" 0.2646
"4727" "04mm01" 4 1 4 14 1 11 0.5 0.300000598707988 0.66 2642.82 2643.48 2644 2643.73 0.25 667 915 1184 3189628 973 604 381 151 0 175 NA 4 255 1 2 550 558 9 108.5095 0.6707 3.0313 0.6759 -2.9755 11.3852 -0.9867 11.1612 -0.9916 2 2 7e-04 0 0 0 "mm" 4 11 0.224 0.581516095534789 "0.3" 11 -0.224 1.00461734008527 "04mm01_4_1_14" 1.02024656823731 0.790900000000001 235 11.8580967786479 10.9295 "opposite to primary" 0.790900000000001 0 "after
overshoot" -0.224
"4737" "04mm01" 4 1 4 20 1 12 0.5 1.51875053634257 0.66 2656.64 2657.31 2657.83 2657.57 0.26 667 923 1184 3203456 966 584 391.75 146 0 6.83 NA 2 218 1 2 509 542 34 14002.7818 32.8544 2.7597 42.0083 -0.6853 10.9718 -0.2337 -8.9173 5.3079 2 2 20.3458 0 1 0.1515 "mm" 4 12 19.8891 19.3436101925695 "1.5" 12 -19.8891 21.5802511964064 "04mm01_4_1_20" 0.656481850472654 -0.6441 245 11.3050280535175 10.4775 "opposite to primary" -0.6441 1 "after
undershoot" -19.8891
"4751" "04mm01" 4 1 4 29 -1 12 0.5 0.300000598707988 0.68 2677.24 2677.93 2678.45 2678.16 0.23 685 912 1201 3224056 956 592 88.75 148 0 175 NA 2 212 1 2 468 491 24 101.7616 0.1979 3.0811 0.9856 -3.0014 -11.8395 0.5052 -12.0833 0.5327 2 2 -0.0448 1 0 0 "mm" 4 12 0.2438 1.51900311526479 "0.3" -12 -0.2438 0.539173608404566 "04mm01_4_1_29" 0.967671354334725 0.8544 219 10.9943502824859 -9.3408 "same as primary" -0.8544 1 "after
undershoot" 0.2438
"4758" "04mm01" 4 1 4 32 -1 10 0.5 0.300000598707988 0.78 2684.32 2685.12 2685.64 2685.33 0.21 801 1010 1318 3231128 966 604 116.25 151 0 175 NA 3 173 1 2 407 430 24 144.3755 0.6345 -3.0059 1.4208 -3.0685 -9.6163 -0.3873 -10.0418 -0.4369 2 2 -0.0121 1 0 0 "mm" 4 10 0.4255 1.10893927547563 "0.3" -10 -0.4255 0.438895033009033 "04mm01_4_1_32" 1.38002007231779 1.3658 198 8.43978112612664 -7.3881 "same as primary" -1.3658 1 "after
undershoot" 0.4255
